heterocephalus_glaber_female_gene,homo_sapiens_gene,orthology_type,perc_id,dn_ds
U6,ENSG00000252980,ortholog_one2one,67.0,
C3orf38,ENSG00000179021,ortholog_one2one,85.1064,
ZNF654,ENSG00000175105,ortholog_one2one,90.5142,
CGGBP1,ENSG00000163320,ortholog_one2one,99.4012,
HTR1F,ENSG00000179097,ortholog_one2one,93.9891,
POU1F1,ENSG00000064835,ortholog_one2one,96.9072,
CHMP2B,ENSG00000083937,ortholog_one2one,99.061,
VGLL3,ENSG00000206538,ortholog_one2one,89.8773,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
U5,ENSG00000252410,ortholog_one2one,55.6522,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
NCAM2,ENSG00000154654,ortholog_one2one,95.8184,
CXADR,ENSG00000154639,ortholog_one2one,88.2192,
BTG3,ENSG00000154640,ortholog_one2one,90.0794,
C21orf91,ENSG00000154642,ortholog_one2one,84.8485,
CHODL,ENSG00000154645,ortholog_one2one,95.6044,
USP25,ENSG00000155313,ortholog_one2one,97.0667,
HSPA13,ENSG00000155304,ortholog_one2one,90.6582,
SAMSN1,ENSG00000155307,ortholog_one2one,84.4504,
NRIP1,ENSG00000180530,ortholog_one2one,88.8601,
U6,ENSG00000252980,ortholog_one2one,67.0,
U6,ENSG00000252980,ortholog_one2one,67.0,
MIR125B2,ENSG00000207863,ortholog_one2one,100.0,
LYSMD3,ENSG00000176018,ortholog_one2one,86.2745,
MBLAC2,ENSG00000176055,ortholog_one2one,97.1326,
VCAN,ENSG00000038427,ortholog_one2one,66.3428,
CETN3,ENSG00000153140,ortholog_one2one,98.2036,
ARRDC3,ENSG00000113369,ortholog_one2one,93.9613,
TMEM161B,ENSG00000164180,ortholog_one2one,96.3039,
EDIL3,ENSG00000164176,ortholog_one2one,94.375,
XRCC4,ENSG00000152422,ortholog_one2one,67.9641,
RPS23,ENSG00000186468,ortholog_one2one,57.3427,
ATG10,ENSG00000152348,ortholog_one2one,78.6364,
CCNH,ENSG00000134480,ortholog_one2one,94.4272,
RASA1,ENSG00000145715,ortholog_one2one,90.5444,
HAPLN1,ENSG00000145681,ortholog_one2one,92.0904,
MEF2C,ENSG00000081189,ortholog_one2one,94.2918,
SCARNA18,ENSG00000238835,ortholog_one2one,85.0746,
SNORA63,ENSG00000200418,ortholog_one2one,86.9919,
U6,ENSG00000252980,ortholog_one2one,67.0,
MIR9-2,ENSG00000284447,ortholog_one2one,100.0,
EVA1A,ENSG00000115363,ortholog_one2one,84.2105,
DUSP11,ENSG00000144048,ortholog_one2one,76.9697,
STAMBP,ENSG00000124356,ortholog_one2one,94.8113,
