NMR gene name,gene_ids,Human gene stable ID,Human gene name,Mouse gene stable ID,Mouse gene name
ZMYND10,ENSHGLG00000010267,ENSG00000004838,ZMYND10,ENSMUSG00000010044,Zmynd10
AMIGO3,ENSHGLG00000010542,,,,
TNFSF10,ENSHGLG00000010558,,,,
ENSHGLG00000010617,ENSHGLG00000010617,,,,
NPRL2,ENSHGLG00000010655,ENSG00000114388,NPRL2,ENSMUSG00000010057,Nprl2
GMPPB,ENSHGLG00000010676,ENSG00000173540,GMPPB,ENSMUSG00000070284,Gmppb
NCEH1,ENSHGLG00000010683,ENSG00000144959,NCEH1,ENSMUSG00000027698,Nceh1
IQCF2,ENSHGLG00000010835,,,,
MRPS22,ENSHGLG00000010873,,,,
ENSHGLG00000010927,ENSHGLG00000010927,,,,
ACPP,ENSHGLG00000010928,,,,
ENSHGLG00000010932,ENSHGLG00000010932,,,,
PIK3CB,ENSHGLG00000010934,,,ENSMUSG00000032462,Pik3cb
BDH1,ENSHGLG00000010935,,,ENSMUSG00000046598,Bdh1
KLHL40,ENSHGLG00000010949,ENSG00000157119,KLHL40,ENSMUSG00000074001,Klhl40
TIPARP,ENSHGLG00000010960,,,,
IQCF5,ENSHGLG00000010962,,,,
NCKIPSD,ENSHGLG00000010981,ENSG00000213672,NCKIPSD,ENSMUSG00000032598,Nckipsd
BTC,ENSHGLG00000010995,ENSG00000174808,BTC,ENSMUSG00000082361,Btc
ECT2,ENSHGLG00000011074,ENSG00000114346,ECT2,ENSMUSG00000027699,Ect2
IP6K1,ENSHGLG00000011077,,,,
ENSHGLG00000011096,ENSHGLG00000011096,,,ENSMUSG00000100962,Lrrc77
KCNMB2,ENSHGLG00000011105,,,,
TMEM115,ENSHGLG00000011123,ENSG00000126062,TMEM115,ENSMUSG00000010045,Tmem115
ENSHGLG00000011137,ENSHGLG00000011137,,,,
ELP6,ENSHGLG00000011150,,,,
ENSHGLG00000011160,ENSHGLG00000011160,,,,
EPHB3,ENSHGLG00000011167,ENSG00000182580,EPHB3,ENSMUSG00000005958,Ephb3
SLC26A6,ENSHGLG00000011175,ENSG00000225697,SLC26A6,ENSMUSG00000023259,Slc26a6
NME6,ENSHGLG00000011177,,,,
ENSHGLG00000011179,ENSHGLG00000011179,,,,
ZDHHC3,ENSHGLG00000011182,ENSG00000163812,ZDHHC3,ENSMUSG00000025786,Zdhhc3
ENSHGLG00000011200,ENSHGLG00000011200,,,,
ENSHGLG00000011219,ENSHGLG00000011219,,,,
IFT80,ENSHGLG00000011237,ENSG00000068885,IFT80,,
AREG,ENSHGLG00000011242,ENSG00000109321,AREG,ENSMUSG00000029378,Areg
