gene_id,gene_name,chromosome,biotype,description,species
ENSHGLG00000006127,MRPL1,7,protein_coding,mitochondrial ribosomal protein L1 [Source:UniProtKB Gene Name;Acc:A0A0N8EV17],naked_mole_rat
ENSHGLG00000006452,,7,protein_coding,CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042],naked_mole_rat
ENSHGLG00000033737,,7,protein_coding,,naked_mole_rat
ENSHGLG00000041299,,7,lncRNA,,naked_mole_rat
ENSHGLG00000048771,,7,lncRNA,,naked_mole_rat
ENSHGLG00000023441,U6,7,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000002905,,2,protein_coding,cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849],naked_mole_rat
ENSHGLG00000003293,,2,protein_coding,,naked_mole_rat
ENSHGLG00000038170,,2,pseudogene,,naked_mole_rat
ENSHGLG00000041404,,2,protein_coding,,naked_mole_rat
ENSHGLG00000045735,,2,protein_coding,,naked_mole_rat
ENSHGLG00000035920,,2,protein_coding,,naked_mole_rat
ENSHGLG00000003270,,2,pseudogene,,naked_mole_rat
ENSHGLG00000002435,C3orf38,2,protein_coding,chromosome 3 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:28384],naked_mole_rat
ENSHGLG00000037445,,2,protein_coding,,naked_mole_rat
ENSHGLG00000001844,ZNF654,2,protein_coding,zinc finger protein 654 [Source:HGNC Symbol;Acc:HGNC:25612],naked_mole_rat
ENSHGLG00000034659,CGGBP1,2,protein_coding,CGG triplet repeat binding protein 1 [Source:UniProtKB Gene Name;Acc:G5C286],naked_mole_rat
ENSHGLG00000042763,HTR1F,2,protein_coding,5-hydroxytryptamine receptor 1F [Source:UniProtKB Gene Name;Acc:G5C287],naked_mole_rat
ENSHGLG00000000774,,2,protein_coding,,naked_mole_rat
ENSHGLG00000037863,,2,protein_coding,,naked_mole_rat
ENSHGLG00000001380,,2,protein_coding,,naked_mole_rat
ENSHGLG00000001440,,2,protein_coding,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",naked_mole_rat
ENSHGLG00000045500,,2,pseudogene,,naked_mole_rat
ENSHGLG00000047444,,2,protein_coding,,naked_mole_rat
ENSHGLG00000032647,,2,protein_coding,,naked_mole_rat
ENSHGLG00000037292,,2,protein_coding,,naked_mole_rat
ENSHGLG00000001001,POU1F1,2,protein_coding,POU class 1 homeobox 1 [Source:UniProtKB Gene Name;Acc:A0A0P6JWA1],naked_mole_rat
ENSHGLG00000000954,CHMP2B,2,protein_coding,charged multivesicular body protein 2B [Source:UniProtKB Gene Name;Acc:A0A0N8ESP6],naked_mole_rat
ENSHGLG00000050433,,2,protein_coding,,naked_mole_rat
ENSHGLG00000000912,VGLL3,2,protein_coding,vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327],naked_mole_rat
ENSHGLG00000046617,,2,protein_coding,,naked_mole_rat
ENSHGLG00000032052,,2,protein_coding,,naked_mole_rat
ENSHGLG00000033750,,2,processed_pseudogene,,naked_mole_rat
ENSHGLG00000043543,,2,lncRNA,,naked_mole_rat
ENSHGLG00000050285,,2,lncRNA,,naked_mole_rat
ENSHGLG00000021501,SNORA70,2,snoRNA,Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156],naked_mole_rat
ENSHGLG00000024349,U2,2,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000021541,U1,2,snRNA,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],naked_mole_rat
ENSHGLG00000034277,U2,2,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000023261,U6,2,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000035534,U6,2,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000023137,U5,2,snRNA,U5 spliceosomal RNA [Source:RFAM;Acc:RF00020],naked_mole_rat
ENSHGLG00000045754,U2,2,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000023776,U6,2,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000044353,U6,2,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000024027,U4,2,snRNA,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],naked_mole_rat
ENSHGLG00000013468,,2,protein_coding,,naked_mole_rat
ENSHGLG00000013262,NCAM2,2,protein_coding,neural cell adhesion molecule 2 [Source:UniProtKB Gene Name;Acc:A0A0P6JDS8],naked_mole_rat
ENSHGLG00000033483,,2,protein_coding,,naked_mole_rat
ENSHGLG00000016535,,2,protein_coding,,naked_mole_rat
ENSHGLG00000036217,CXADR,2,protein_coding,CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559],naked_mole_rat
ENSHGLG00000040124,BTG3,2,protein_coding,BTG anti-proliferation factor 3 [Source:UniProtKB Gene Name;Acc:A0A0P6JXS4],naked_mole_rat
ENSHGLG00000004864,C21orf91,2,protein_coding,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459],naked_mole_rat
ENSHGLG00000048031,,2,protein_coding,,naked_mole_rat
ENSHGLG00000049511,,2,protein_coding,,naked_mole_rat
ENSHGLG00000044014,,2,protein_coding,,naked_mole_rat
ENSHGLG00000006907,,2,protein_coding,,naked_mole_rat
ENSHGLG00000008201,CHODL,2,protein_coding,chondrolectin [Source:HGNC Symbol;Acc:HGNC:17807],naked_mole_rat
ENSHGLG00000016237,,2,protein_coding,transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490],naked_mole_rat
ENSHGLG00000018669,USP25,2,protein_coding,ubiquitin specific peptidase 25 [Source:UniProtKB Gene Name;Acc:A0A0N8ETR2],naked_mole_rat
ENSHGLG00000032765,,2,protein_coding,,naked_mole_rat
ENSHGLG00000016407,,2,protein_coding,,naked_mole_rat
ENSHGLG00000013951,,2,protein_coding,RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897],naked_mole_rat
ENSHGLG00000043774,HSPA13,2,protein_coding,heat shock protein family A (Hsp70) member 13 [Source:UniProtKB Gene Name;Acc:G5B4Q2],naked_mole_rat
ENSHGLG00000015900,SAMSN1,2,protein_coding,"SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]",naked_mole_rat
ENSHGLG00000008939,,2,protein_coding,,naked_mole_rat
ENSHGLG00000041772,NRIP1,2,protein_coding,nuclear receptor interacting protein 1 [Source:UniProtKB Gene Name;Acc:G5B4Q0],naked_mole_rat
ENSHGLG00000005987,,2,protein_coding,,naked_mole_rat
ENSHGLG00000011527,,2,protein_coding,,naked_mole_rat
ENSHGLG00000018407,,2,protein_coding,,naked_mole_rat
ENSHGLG00000013119,,2,protein_coding,,naked_mole_rat
ENSHGLG00000042984,,2,protein_coding,,naked_mole_rat
ENSHGLG00000043863,,2,lncRNA,,naked_mole_rat
ENSHGLG00000027467,,2,lncRNA,,naked_mole_rat
ENSHGLG00000033591,,2,lncRNA,,naked_mole_rat
ENSHGLG00000046369,,2,lncRNA,,naked_mole_rat
ENSHGLG00000042499,,2,lncRNA,,naked_mole_rat
ENSHGLG00000038404,,2,lncRNA,,naked_mole_rat
ENSHGLG00000039444,,2,lncRNA,,naked_mole_rat
ENSHGLG00000039648,,2,lncRNA,,naked_mole_rat
ENSHGLG00000043629,,2,lncRNA,,naked_mole_rat
ENSHGLG00000033118,,2,lncRNA,,naked_mole_rat
ENSHGLG00000038241,,2,lncRNA,,naked_mole_rat
ENSHGLG00000034990,,2,lncRNA,,naked_mole_rat
ENSHGLG00000038011,,2,lncRNA,,naked_mole_rat
ENSHGLG00000032393,,2,lncRNA,,naked_mole_rat
ENSHGLG00000047100,,2,lncRNA,,naked_mole_rat
ENSHGLG00000048616,,2,lncRNA,,naked_mole_rat
ENSHGLG00000031873,,2,lncRNA,,naked_mole_rat
ENSHGLG00000036704,,2,lncRNA,,naked_mole_rat
ENSHGLG00000041172,,2,lncRNA,,naked_mole_rat
ENSHGLG00000044503,,2,lncRNA,,naked_mole_rat
ENSHGLG00000047855,,2,lncRNA,,naked_mole_rat
ENSHGLG00000040417,,2,lncRNA,,naked_mole_rat
ENSHGLG00000040128,,2,lncRNA,,naked_mole_rat
ENSHGLG00000033796,,2,lncRNA,,naked_mole_rat
ENSHGLG00000024799,U4,2,snRNA,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],naked_mole_rat
ENSHGLG00000047668,U1,2,snRNA,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],naked_mole_rat
ENSHGLG00000048084,U2,2,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000049599,U6,2,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000024169,,2,snRNA,,naked_mole_rat
ENSHGLG00000024636,SNORD81,2,snoRNA,Small nucleolar RNA SNORD81 [Source:RFAM;Acc:RF00136],naked_mole_rat
ENSHGLG00000041602,U6,2,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000022569,MIR125B2,2,miRNA,microRNA 125b-2 [Source:HGNC Symbol;Acc:HGNC:31507],naked_mole_rat
ENSHGLG00000048068,,6,protein_coding,,naked_mole_rat
ENSHGLG00000043201,,6,protein_coding,,naked_mole_rat
ENSHGLG00000038073,,6,protein_coding,,naked_mole_rat
ENSHGLG00000036506,,6,protein_coding,,naked_mole_rat
ENSHGLG00000039807,LYSMD3,6,protein_coding,LysM domain containing 3 [Source:UniProtKB Gene Name;Acc:G5BBF5],naked_mole_rat
ENSHGLG00000039707,,6,protein_coding,,naked_mole_rat
ENSHGLG00000046616,MBLAC2,6,protein_coding,metallo-beta-lactamase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33711],naked_mole_rat
ENSHGLG00000010244,VCAN,6,protein_coding,versican [Source:HGNC Symbol;Acc:HGNC:2464],naked_mole_rat
ENSHGLG00000036397,CETN3,6,protein_coding,centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868],naked_mole_rat
ENSHGLG00000009574,ARRDC3,6,protein_coding,arrestin domain containing 3 [Source:UniProtKB Gene Name;Acc:G5BN38],naked_mole_rat
ENSHGLG00000002953,,6,protein_coding,,naked_mole_rat
ENSHGLG00000016157,TMEM161B,6,protein_coding,transmembrane protein 161B [Source:UniProtKB Gene Name;Acc:A0A0P6JU46],naked_mole_rat
ENSHGLG00000013218,EDIL3,6,protein_coding,EGF like repeats and discoidin domains 3 [Source:UniProtKB Gene Name;Acc:A0A0N8EUU3],naked_mole_rat
ENSHGLG00000032875,XRCC4,6,protein_coding,X-ray repair cross complementing 4 [Source:UniProtKB Gene Name;Acc:A0A0P6J4S1],naked_mole_rat
ENSHGLG00000036731,TMEM167A,6,protein_coding,transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330],naked_mole_rat
ENSHGLG00000032953,COX7C,6,protein_coding,cytochrome c oxidase subunit 7C [Source:UniProtKB Gene Name;Acc:A0A0P6JF56],naked_mole_rat
ENSHGLG00000012753,,6,protein_coding,,naked_mole_rat
ENSHGLG00000036000,,6,protein_coding,,naked_mole_rat
ENSHGLG00000008165,RPS23,6,protein_coding,ribosomal protein S23 [Source:UniProtKB Gene Name;Acc:A0A0P6J0V6],naked_mole_rat
ENSHGLG00000007844,ATG10,6,protein_coding,autophagy related 10 [Source:UniProtKB Gene Name;Acc:A0A0N8ET70],naked_mole_rat
ENSHGLG00000007779,CCNH,6,protein_coding,cyclin H [Source:HGNC Symbol;Acc:HGNC:1594],naked_mole_rat
ENSHGLG00000005734,RASA1,6,protein_coding,RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871],naked_mole_rat
ENSHGLG00000034114,HAPLN1,6,protein_coding,hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380],naked_mole_rat
ENSHGLG00000008715,MEF2C,6,protein_coding,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996],naked_mole_rat
ENSHGLG00000042125,,6,protein_coding,,naked_mole_rat
ENSHGLG00000033884,,6,protein_coding,,naked_mole_rat
ENSHGLG00000033125,,6,processed_pseudogene,,naked_mole_rat
ENSHGLG00000046608,,6,lncRNA,,naked_mole_rat
ENSHGLG00000050583,,6,lncRNA,,naked_mole_rat
ENSHGLG00000037701,,6,lncRNA,,naked_mole_rat
ENSHGLG00000041679,,6,lncRNA,,naked_mole_rat
ENSHGLG00000045532,,6,lncRNA,,naked_mole_rat
ENSHGLG00000044648,,6,lncRNA,,naked_mole_rat
ENSHGLG00000040143,,6,lncRNA,,naked_mole_rat
ENSHGLG00000039365,,6,lncRNA,,naked_mole_rat
ENSHGLG00000033887,,6,lncRNA,,naked_mole_rat
ENSHGLG00000027148,,6,lncRNA,,naked_mole_rat
ENSHGLG00000039331,,6,lncRNA,,naked_mole_rat
ENSHGLG00000040993,,6,lncRNA,,naked_mole_rat
ENSHGLG00000047255,,6,lncRNA,,naked_mole_rat
ENSHGLG00000044051,,6,lncRNA,,naked_mole_rat
ENSHGLG00000038328,,6,lncRNA,,naked_mole_rat
