human_gene_name,nmr_gene_acc,orthology_type,perc_id,nmr_gene_name,chromosome,biotype,description,species
MT-ND1,ENSHGLG00000000006,ortholog_one2one,75.2351,ND1,MT,protein_coding,NADH dehydrogenase subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:10201222],naked_mole_rat
MT-CO1,ENSHGLG00000000016,ortholog_one2one,91.0331,COX1,MT,protein_coding,cytochrome c oxidase subunit I [Source:NCBI gene (formerly Entrezgene);Acc:10201216],naked_mole_rat
MT-CO2,ENSHGLG00000000019,ortholog_one2one,69.163,COX2,MT,protein_coding,cytochrome c oxidase subunit II [Source:NCBI gene (formerly Entrezgene);Acc:10201212],naked_mole_rat
MT-CO3,ENSHGLG00000000023,ortholog_one2one,85.8238,COX3,MT,protein_coding,cytochrome c oxidase subunit III [Source:NCBI gene (formerly Entrezgene);Acc:10201210],naked_mole_rat
MT-ND3,ENSHGLG00000000025,ortholog_one2one,67.8261,ND3,MT,protein_coding,NADH dehydrogenase subunit 3 [Source:NCBI gene (formerly Entrezgene);Acc:10201214],naked_mole_rat
MT-ND4,ENSHGLG00000000028,ortholog_one2one,69.4989,ND4,MT,protein_coding,NADH dehydrogenase subunit 4 [Source:NCBI gene (formerly Entrezgene);Acc:10201219],naked_mole_rat
MT-ND5,ENSHGLG00000000032,ortholog_one2one,65.1741,ND5,MT,protein_coding,NADH dehydrogenase subunit 5 [Source:NCBI gene (formerly Entrezgene);Acc:10201218],naked_mole_rat
MT-CYB,ENSHGLG00000000035,ortholog_one2one,76.7196,CYTB,MT,protein_coding,cytochrome b [Source:NCBI gene (formerly Entrezgene);Acc:10201221],naked_mole_rat
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
GCGR,ENSHGLG00000004371,ortholog_one2one,84.1667,GCGR,20,protein_coding,glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192],naked_mole_rat
ACR,ENSHGLG00000007803,ortholog_one2one,66.6667,,OX090908.1,protein_coding,,naked_mole_rat
C8orf33,ENSHGLG00000038076,ortholog_one2one,68.559,,10,protein_coding,,naked_mole_rat
SHANK3,ENSHGLG00000034988,ortholog_one2one,80.0525,,OX090908.1,protein_coding,,naked_mole_rat
PPP1R27,ENSHGLG00000005910,ortholog_one2one,90.2597,PPP1R27,20,protein_coding,protein phosphatase 1 regulatory subunit 27 [Source:UniProtKB Gene Name;Acc:G5BJ76],naked_mole_rat
OR9G1,ENSHGLG00000021121,ortholog_one2one,77.0492,,22,protein_coding,,naked_mole_rat
OR9G4,ENSHGLG00000037528,ortholog_one2one,84.6154,OR9G4,22,protein_coding,olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322],naked_mole_rat
BCL2L14,ENSHGLG00000006476,ortholog_one2one,61.2022,BCL2L14,5,protein_coding,BCL2 like 14 [Source:UniProtKB Gene Name;Acc:A0A0P6JWM8],naked_mole_rat
LRP6,ENSHGLG00000018784,ortholog_one2one,98.5741,LRP6,5,protein_coding,LDL receptor related protein 6 [Source:UniProtKB Gene Name;Acc:A0A0P6JF39],naked_mole_rat
BRSK2,ENSHGLG00000008575,ortholog_one2one,93.3687,,5,protein_coding,,naked_mole_rat
MANSC1,ENSHGLG00000015850,ortholog_one2one,65.0602,,5,protein_coding,,naked_mole_rat
DUSP8,ENSHGLG00000038023,ortholog_one2one,87.188,,5,protein_coding,,naked_mole_rat
BORCS5,ENSHGLG00000008588,ortholog_one2one,96.9388,LOH12CR1,5,protein_coding,,naked_mole_rat
MOB2,ENSHGLG00000007926,ortholog_one2one,65.6627,MOB2,5,protein_coding,MOB kinase activator 2 [Source:HGNC Symbol;Acc:HGNC:24904],naked_mole_rat
DUSP16,ENSHGLG00000006977,ortholog_one2one,93.3535,DUSP16,5,protein_coding,dual specificity phosphatase 16 [Source:UniProtKB Gene Name;Acc:G5BYF9],naked_mole_rat
FAM20C,ENSHGLG00000017258,ortholog_one2one,89.9827,,1,protein_coding,,naked_mole_rat
SERTAD4,ENSHGLG00000038487,ortholog_one2one,76.5957,SERTAD4,24,protein_coding,SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236],naked_mole_rat
OR4C12,ENSHGLG00000015187,ortholog_one2one,82.7243,,1,protein_coding,,naked_mole_rat
OR4C45,ENSHGLG00000019698,ortholog_one2one,77.1242,,1,protein_coding,,naked_mole_rat
HHAT,ENSHGLG00000003672,ortholog_one2one,80.5501,HHAT,24,protein_coding,hedgehog acyltransferase [Source:UniProtKB Gene Name;Acc:A0A0P6JU54],naked_mole_rat
GRK1,ENSHGLG00000002895,ortholog_one2one,78.1915,GRK1,OX090908.1,protein_coding,G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:HGNC:10013],naked_mole_rat
ARHGEF19,ENSHGLG00000012640,ortholog_one2one,77.4123,ARHGEF19,7,protein_coding,Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604],naked_mole_rat
CPLANE2,ENSHGLG00000034672,ortholog_one2one,89.4942,RSG1,7,protein_coding,ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127],naked_mole_rat
FBXO42,ENSHGLG00000048465,ortholog_one2one,86.625,FBXO42,7,protein_coding,F-box protein 42 [Source:UniProtKB Gene Name;Acc:G5BRU7],naked_mole_rat
SZRD1,ENSHGLG00000039824,ortholog_one2one,82.6087,SZRD1,7,protein_coding,SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232],naked_mole_rat
NECAP2,ENSHGLG00000010208,ortholog_one2one,72.5424,NECAP2,7,protein_coding,NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528],naked_mole_rat
PADI2,ENSHGLG00000016874,ortholog_one2one,92.6316,PADI2,7,protein_coding,peptidyl arginine deiminase 2 [Source:UniProtKB Gene Name;Acc:G5BZN5],naked_mole_rat
GPR20,ENSHGLG00000020410,ortholog_one2one,82.6816,GPR20,10,protein_coding,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475],naked_mole_rat
PTP4A3,ENSHGLG00000014998,ortholog_one2one,70.4663,PTP4A3,10,protein_coding,protein tyrosine phosphatase 4A3 [Source:UniProtKB Gene Name;Acc:G5C8Z2],naked_mole_rat
C8orf90,ENSHGLG00000018605,ortholog_one2one,71.2575,C8orf90,10,protein_coding,chromosome 8 open reading frame 90 [Source:HGNC Symbol;Acc:HGNC:56305],naked_mole_rat
DHRSX,ENSHGLG00000044121,ortholog_one2one,75.7377,DHRSX,X,protein_coding,dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399],naked_mole_rat
ORAI1,ENSHGLG00000017969,ortholog_one2one,93.8983,ORAI1,23,protein_coding,ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:HGNC:25896],naked_mole_rat
SHOX,ENSHGLG00000000231,ortholog_one2one,87.372,SHOX,X,protein_coding,SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853],naked_mole_rat
ACTG1,ENSHGLG00000009170,ortholog_one2one,97.6316,ACTG1,20,protein_coding,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144],naked_mole_rat
BAHCC1,ENSHGLG00000006440,ortholog_one2one,80.9451,BAHCC1,20,protein_coding,BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279],naked_mole_rat
ZBED1,ENSHGLG00000035208,ortholog_one2one,71.4286,ZBED1,X,protein_coding,zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447],naked_mole_rat
C6orf52,ENSHGLG00000017556,ortholog_one2one,61.0738,C6orf52,9,protein_coding,chromosome 6 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:20881],naked_mole_rat
PAK1IP1,ENSHGLG00000048467,ortholog_one2one,73.6842,PAK1IP1,9,protein_coding,PAK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20882],naked_mole_rat
GCNT2,ENSHGLG00000046293,ortholog_one2one,73.6702,,16,protein_coding,,naked_mole_rat
P2RY8,ENSHGLG00000046211,ortholog_one2one,74.4505,P2RY8,X,protein_coding,P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524],naked_mole_rat
SMIM33,ENSHGLG00000008582,ortholog_one2one,71.2,SMIM33,6,protein_coding,small integral membrane protein 33 [Source:HGNC Symbol;Acc:HGNC:53645],naked_mole_rat
STING1,ENSHGLG00000032049,ortholog_one2one,62.4454,STING1,6,protein_coding,stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962],naked_mole_rat
IL9R,ENSHGLG00000002282,ortholog_one2one,65.3251,,23,protein_coding,,naked_mole_rat
VAMP7,ENSHGLG00000046871,ortholog_one2one,97.0588,,X,protein_coding,,naked_mole_rat
ITGA9,ENSHGLG00000008865,ortholog_one2one,92.0233,ITGA9,9,protein_coding,integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145],naked_mole_rat
C1R,ENSHGLG00000001453,ortholog_one2one,65.9731,C1R,5,protein_coding,complement C1r [Source:HGNC Symbol;Acc:HGNC:1246],naked_mole_rat
IBTK,ENSHGLG00000003363,ortholog_one2one,90.3846,,1,protein_coding,,naked_mole_rat
C1RL,ENSHGLG00000042250,ortholog_one2one,70.0624,C1RL,5,protein_coding,complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265],naked_mole_rat
CLSTN3,ENSHGLG00000001611,ortholog_one2one,83.1569,CLSTN3,5,protein_coding,calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371],naked_mole_rat
PEX5,ENSHGLG00000001679,ortholog_one2one,95.1562,PEX5,5,protein_coding,peroxisomal biosis factor 5 [Source:UniProtKB Gene Name;Acc:A0A0P6JB53],naked_mole_rat
RNU6-130P,ENSHGLG00000040899,ortholog_one2one,84.1122,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
TPBG,ENSHGLG00000003190,ortholog_one2one,66.6667,TPBG,1,protein_coding,trophoblast glycoprotein [Source:UniProtKB Gene Name;Acc:A0A0P6IW76],naked_mole_rat
TRIM71,ENSHGLG00000001826,ortholog_one2one,98.0437,,9,protein_coding,,naked_mole_rat
CNOT10,ENSHGLG00000001731,ortholog_one2one,89.6766,,9,protein_coding,,naked_mole_rat
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,U6,4,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
H2AC25,ENSHGLG00000037975,ortholog_one2one,100.0,H2AC25,1,protein_coding,H2A clustered histone 25 [Source:HGNC Symbol;Acc:HGNC:20507],naked_mole_rat
RNF187,ENSHGLG00000000597,ortholog_one2one,80.6691,,1,protein_coding,,naked_mole_rat
RHOU,ENSHGLG00000040291,ortholog_one2one,74.216,,9,protein_coding,,naked_mole_rat
CLDN7,ENSHGLG00000011140,ortholog_one2one,79.6208,CLDN7,20,protein_coding,claudin 7 [Source:UniProtKB Gene Name;Acc:G5B5A8],naked_mole_rat
SLC2A4,ENSHGLG00000013185,ortholog_one2one,94.685,SLC2A4,20,protein_coding,solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009],naked_mole_rat
DYRK1B,ENSHGLG00000008918,ortholog_one2one,77.2554,,28,protein_coding,,naked_mole_rat
YBX2,ENSHGLG00000014186,ortholog_one2one,85.9459,,20,protein_coding,,naked_mole_rat
FBL,ENSHGLG00000009686,ortholog_one2one,96.8944,,28,protein_coding,,naked_mole_rat
PSMC4,ENSHGLG00000011292,ortholog_one2one,100.0,PSMC4,28,protein_coding,"proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]",naked_mole_rat
GPS2,ENSHGLG00000011192,ortholog_one2one,78.8732,GPS2,20,protein_coding,G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:HGNC:4550],naked_mole_rat
ZNF780B,ENSHGLG00000046743,ortholog_one2one,65.7277,,21,protein_coding,,naked_mole_rat
CARMIL3,ENSHGLG00000004564,ortholog_one2one,93.5879,CARMIL3,2,protein_coding,capping protein regulator and myosin 1 linker 3 [Source:HGNC Symbol;Acc:HGNC:20272],naked_mole_rat
CPNE6,ENSHGLG00000004060,ortholog_one2one,92.3208,CPNE6,2,protein_coding,copine 6 [Source:HGNC Symbol;Acc:HGNC:2319],naked_mole_rat
KCTD11,ENSHGLG00000047152,ortholog_one2one,90.9483,KCTD11,20,protein_coding,potassium channel tetramerization domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21302],naked_mole_rat
USP9Y,ENSHGLG00000032166,ortholog_one2one,84.1558,,OX090908.1,protein_coding,,naked_mole_rat
NRL,ENSHGLG00000003953,ortholog_one2one,91.5612,NRL,2,protein_coding,neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002],naked_mole_rat
PCK2,ENSHGLG00000003721,ortholog_one2one,93.9062,PCK2,2,protein_coding,"phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]",naked_mole_rat
CASP8AP2,ENSHGLG00000050644,ortholog_one2one,73.1231,,1,protein_coding,,naked_mole_rat
DCAF11,ENSHGLG00000003175,ortholog_one2one,95.2381,FITM1,2,protein_coding,fat storage inducing transmembrane protein 1 [Source:UniProtKB Gene Name;Acc:G5B297],naked_mole_rat
PSME1,ENSHGLG00000003645,ortholog_one2one,97.1888,PSME1,2,protein_coding,proteasome activator subunit 1 [Source:UniProtKB Gene Name;Acc:A0A0P6JH20],naked_mole_rat
NXNL2,ENSHGLG00000039721,ortholog_one2one,68.1081,NXNL2,25,protein_coding,nucleoredoxin like 2 [Source:HGNC Symbol;Acc:HGNC:30482],naked_mole_rat
EMC9,ENSHGLG00000035251,ortholog_one2one,68.1223,EMC9,2,protein_coding,ER membrane protein complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:20273],naked_mole_rat
