nmr_gene_name,human_gene_acc,orthology_type,perc_id,human_gene_name,chromosome,biotype,description,species
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
C3orf38,ENSG00000179021,ortholog_one2one,85.1064,C3orf38,3,protein_coding,chromosome 3 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:28384],human
ZNF654,ENSG00000175105,ortholog_one2one,90.5142,ZNF654,3,protein_coding,zinc finger protein 654 [Source:HGNC Symbol;Acc:HGNC:25612],human
CGGBP1,ENSG00000163320,ortholog_one2one,99.4012,CGGBP1,3,protein_coding,CGG triplet repeat binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1888],human
HTR1F,ENSG00000179097,ortholog_one2one,93.9891,HTR1F,3,protein_coding,5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292],human
POU1F1,ENSG00000064835,ortholog_one2one,96.9072,POU1F1,3,protein_coding,POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9210],human
CHMP2B,ENSG00000083937,ortholog_one2one,99.061,CHMP2B,3,protein_coding,charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537],human
VGLL3,ENSG00000206538,ortholog_one2one,89.8773,VGLL3,3,protein_coding,vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
NCAM2,ENSG00000154654,ortholog_one2one,95.8184,NCAM2,21,protein_coding,neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657],human
CXADR,ENSG00000154639,ortholog_one2one,88.2192,CXADR,21,protein_coding,CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559],human
BTG3,ENSG00000154640,ortholog_one2one,90.0794,BTG3,21,protein_coding,BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132],human
