homo_sapiens_gene,heterocephalus_glaber_female_gene,orthology_type,perc_id,dn_ds
MT-ND1,ENSHGLG00000000006,ortholog_one2one,75.2351,
MT-ND2,ENSHGLG00000000010,ortholog_one2one,58.5014,
MT-CO1,ENSHGLG00000000016,ortholog_one2one,91.0331,
MT-CO2,ENSHGLG00000000019,ortholog_one2one,69.163,
MT-ATP8,ENSHGLG00000000021,ortholog_one2one,44.7761,
MT-CO3,ENSHGLG00000000023,ortholog_one2one,85.8238,
MT-ND3,ENSHGLG00000000025,ortholog_one2one,67.8261,
MT-ND4,ENSHGLG00000000028,ortholog_one2one,69.4989,
MT-ND5,ENSHGLG00000000032,ortholog_one2one,65.1741,
MT-ND6,ENSHGLG00000000033,ortholog_one2one,55.6818,
MT-CYB,ENSHGLG00000000035,ortholog_one2one,76.7196,
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,
U6,ENSHGLG00000049996,ortholog_one2one,75.9615,
GCGR,ENSHGLG00000004371,ortholog_one2one,84.1667,
MCRIP1,ENSHGLG00000005222,ortholog_one2one,31.3084,
ACR,ENSHGLG00000007803,ortholog_one2one,66.6667,
C8orf33,ENSHGLG00000038076,ortholog_one2one,68.559,
SHANK3,ENSHGLG00000034988,ortholog_one2one,80.0525,
PPP1R27,ENSHGLG00000005910,ortholog_one2one,90.2597,
MUC2,ENSHGLG00000006333,ortholog_one2one,23.1741,
OR9G1,ENSHGLG00000021121,ortholog_one2one,77.0492,
OR9G4,ENSHGLG00000037528,ortholog_one2one,84.6154,
BCL2L14,ENSHGLG00000006476,ortholog_one2one,61.2022,
LRP6,ENSHGLG00000018784,ortholog_one2one,98.5741,
TOLLIP,ENSHGLG00000040565,ortholog_one2one,55.1724,
BRSK2,ENSHGLG00000008575,ortholog_one2one,93.3687,
MANSC1,ENSHGLG00000015850,ortholog_one2one,65.0602,
DUSP8,ENSHGLG00000038023,ortholog_one2one,87.188,
BORCS5,ENSHGLG00000008588,ortholog_one2one,96.9388,
MOB2,ENSHGLG00000007926,ortholog_one2one,65.6627,
DUSP16,ENSHGLG00000006977,ortholog_one2one,93.3535,
FAM20C,ENSHGLG00000017258,ortholog_one2one,89.9827,
SERTAD4,ENSHGLG00000038487,ortholog_one2one,76.5957,
OR4C12,ENSHGLG00000015187,ortholog_one2one,82.7243,
OR4C45,ENSHGLG00000019698,ortholog_one2one,77.1242,
HHAT,ENSHGLG00000003672,ortholog_one2one,80.5501,
GRK1,ENSHGLG00000002895,ortholog_one2one,78.1915,
ARHGEF19,ENSHGLG00000012640,ortholog_one2one,77.4123,
CPLANE2,ENSHGLG00000034672,ortholog_one2one,89.4942,
FBXO42,ENSHGLG00000048465,ortholog_one2one,86.625,
SZRD1,ENSHGLG00000039824,ortholog_one2one,82.6087,
NECAP2,ENSHGLG00000010208,ortholog_one2one,72.5424,
